file	symbol	source_construct	classification	target_translation	evidence	status
toml/encoder.py	dump	def dump(o, f, encoder=None) at encoder.py:12	OPTIONAL_PARAM	dump(o: Record<string, TomlValue>, f: { write(s: string): unknown }, encoder?: TomlEncoder): string	signature encoder.py:12; f.write guard encoder.py:27-28; encoder forwarded to dumps encoder.py:29 which fills the default	confirmed
toml/encoder.py	dumps	def dumps(o, encoder=None) at encoder.py:34	OPTIONAL_PARAM	dumps(o: Record<string, TomlValue>, encoder?: TomlEncoder): string -- default fill: encoder = new TomlEncoder() (Python's o.__class__ arg collapses; dict -> plain object per RULEBOOK S2)	signature encoder.py:34; None-fill encoder.py:58-59 uses o.__class__; encoder used encoder.py:60-80	confirmed
toml/encoder.py	_dump_str	sys.version_info < (3,) and hasattr(v, 'decode') and isinstance(v, str) at encoder.py:87	TYPE_NARROWING	dead Py2 branch -- omit; _dump_str(v: string): string. NOTE: dump_value fallback (encoder.py:180) can pass non-strings, so that TS call site must coerce String(v) before calling	definition encoder.py:86-88; string callers encoder.py:135-136 (dump_funcs), encoder.py:192 (qsection), encoder.py:297 (_dump_pathlib_path); non-string reach only via fallback encoder.py:180	confirmed
toml/encoder.py	TomlEncoder.dump_inline_table	isinstance(section, dict) at encoder.py:164	TYPE_NARROWING	section: TomlValue; narrow with shared isTable(section): section is Record<string, TomlValue> -- plain-object test must exclude arrays AND tz.ts class instances (bare typeof === 'object' would wrongly recurse into TomlDateTime)	recursion encoder.py:157-172, recursive call encoder.py:167 on values; non-dict branch escapes to dump_value encoder.py:172; caller dump_sections encoder.py:227-229	confirmed
toml/encoder.py	TomlEncoder.dump_sections	if not isinstance(o[section], dict) at encoder.py:193	TYPE_NARROWING	o: Record<string, TomlValue>; !isTable(o[section]) -- same shared isTable guard as encoder.py:164; null values are legal here and skipped (o[section] is not None check encoder.py:224; RULEBOOK None -> null); recursive call at encoder.py:203 passes raw list elements — that one call site needs an explicit cast + TODO(port)	dispatch encoder.py:193-231; dict branch deferred via retdict encoder.py:230-231; non-dict escapes via dump_value encoder.py:224-226	confirmed
toml/encoder.py	TomlEncoder.dump_sections	isinstance(o[section], list) at encoder.py:195	TYPE_NARROWING	Array.isArray(o[section]) narrows TomlValue to TomlValue[] for array-of-tables detection	detection encoder.py:195-198; array-of-tables iterated encoder.py:200-220; plain arrays fall through to dump_value encoder.py:224-226	confirmed
toml/encoder.py	TomlEncoder.dump_sections	isinstance(a, dict) at encoder.py:197	TYPE_NARROWING	a: TomlValue (element of o[section]: TomlValue[]); isTable(a) -- one table element flags the whole list as array-of-tables, then EVERY element is recursed as a table	scan encoder.py:196-198; elements recursed encoder.py:200-203 dump_sections(a, ...) regardless of element type -- divergence — Python raises TypeError (encoder.py:188), TS for...in over cast primitive silently no-ops; translation site must carry TODO(port): mixed-list divergence	confirmed
toml/encoder.py	TomlEncoder.dump_sections	self.preserve and isinstance(o[section], InlineTableDict) at encoder.py:227	UNKNOWN	conservative: isInlineTable(v: TomlValue): boolean via Symbol brand check; TODO(port): how is the InlineTableDict sentinel represented given dict -> plain object -- decoder builds it via dynamic multiple inheritance (decoder.py:644 DynamicInlineTableDict(self._dict, InlineTableDict)) which TS cannot express; class+instanceof vs Symbol brand changes every construction site	sentinel class decoder.py:631; created decoder.py:643-652 get_empty_inline_table; consumed encoder.py:227-229 -> dump_inline_table; RULEBOOK has no row for this sentinel	confirmed
toml/encoder.py	TomlArraySeparatorEncoder.dump_list	isinstance(u, list) at encoder.py:260	TYPE_NARROWING	t: Array<string | number | (string | number)[]> (dump_value returns string | number -- int entry encoder.py:139 returns the raw number); Array.isArray(u) ported 1:1 with element type string | number | (string | number)[] even though the list branch appears unreachable (dump_value never returns a list -- dump_funcs[list] returns a string)	t filled encoder.py:256 from dump_value; dump_value return union encoder.py:174-180 plus int lambda encoder.py:139; flatten loop encoder.py:257-266; RULEBOOK S0 structure-preserving forbids deleting the branch	confirmed
toml/encoder.py	TomlPathlibEncoder.dump_value	isinstance(v, pathlib.PurePath) at encoder.py:302	UNKNOWN	conservative: dump_value(v: TomlValue): string | number -- pass-through to super with the pathlib branch dropped as dead code; TODO(port): is there a TS path-like analog this encoder should stringify (e.g. URL, objects with toString) or is TomlPathlibEncoder a pure no-op shim like ordered.py?	class encoder.py:294-305; _dump_pathlib_path encoder.py:296-297 stringifies via _dump_str(str(v)); narrowing encoder.py:300-303 then super call; RULEBOOK S2 ordered.py no-op precedent; RULEBOOK silent on encoder-side pathlib (io-file row covers load() only)	confirmed
